Inventory,Source Row,Source Equipment Name,Display Equipment Name,Source Sequence,Source Reference,Tracking Model,Quantity,Normalized Category,Internal Asset Code,Manufacturer Serial,Current Nerve Asset ID,Current Nerve Asset Tag,Current Scope,Proposed Scope,Reconciliation Status,Review Flag,Notes
MEDIA_CREW,4,SONY S3,SONY S3 1,1,,SERIALIZED,,Camera Body,MC-0001,,1 | 2,EQ-CAM-001 | EQ-CAM-002,LEGACY / UNSCOPED,MEDIA_CREW,DUPLICATE_RISK,DUPLICATE RISK — do not import until the unit is identified,"same category (Camera Body), same brand (sony) and same numbers (3); 2 existing assets fit — which physical unit this row is cannot be told from the source"
MEDIA_CREW,5,SONY S3,SONY S3 2,2,,SERIALIZED,,Camera Body,MC-0002,,1 | 2,EQ-CAM-001 | EQ-CAM-002,LEGACY / UNSCOPED,MEDIA_CREW,DUPLICATE_RISK,DUPLICATE RISK — do not import until the unit is identified,"same category (Camera Body), same brand (sony) and same numbers (3); 2 existing assets fit — which physical unit this row is cannot be told from the source"
MEDIA_CREW,6,SONY M4,SONY M4 1,1,,SERIALIZED,,Camera Body,MC-0003,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,7,SONY M4,SONY M4 2,2,,SERIALIZED,,Camera Body,MC-0004,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,8,SONY M4,SONY M4,,TOUR,REQUIRES_REVIEW,,Camera Body,,,,,,MEDIA_CREW,NEW,"NON-NUMERIC SOURCE VALUE (""TOUR"") — preserved as source_reference, NOT a serial",no existing Nerve asset resembles this name
MEDIA_CREW,9,SONY C2,SONY C2 1,1,,SERIALIZED,,Camera Body,MC-0005,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,10,SONY  ZEV,SONY  ZEV 1,1,,SERIALIZED,,Camera Body,MC-0006,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,11,BLACKMAGIC,BLACKMAGIC 1,1,,SERIALIZED,,Camera Body,MC-0007,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,12,LUMIX,LUMIX 1,1,,SERIALIZED,,Camera Body,MC-0008,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,13,SONY 35 MM,SONY 35 MM 1,1,,SERIALIZED,,Lens,MC-0009,,10,EQ-LEN-003,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (35); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,14,SONY 35 MM,SONY 35 MM 2,2,,SERIALIZED,,Lens,MC-0010,,10,EQ-LEN-003,LEGACY / UNSCOPED,MEDIA_CREW,POSSIBLE_MATCH,POSSIBLE MATCH — confirm before import or a duplicate is created,"same category (Lens), same brand (sony) and same numbers (35); no manufacturer serial on the source side, so identity is unconfirmed"
MEDIA_CREW,15,SONY 50 1.8,SONY 50 1.8 1,1,,SERIALIZED,,Lens,MC-0011,,,,,MEDIA_CREW,NEW,,no existing Nerve asset resembles this name
MEDIA_CREW,16,SONY 85,SONY 85 1,1,,REQUIRES_REVIEW,,REVIEW,,,,,,MEDIA_CREW,REQUIRES_REVIEW,CATEGORY NOT CONFIDENTLY RESOLVED | CATEGORY REQUIRES REVIEW,"category unresolved, so no reconciliation was attempted"
