Source Row,Inventory,Proposed Scope,Scope Approval,Source Equipment Name,Display Equipment Name,Source Sequence,Source Reference,Normalized Category,Tracking Model,Quantity,Proposed Internal Asset Code,Manufacturer Serial,Reconciliation Status,Candidate Nerve Asset ID,Candidate Nerve Asset Tag,PRIMARY DECISION STATE,Proposed Accessory Grouping,Review Flag,Decision,Decided By,Decision Date,Notes
4,MEDIA_CREW,MEDIA_CREW,PENDING,SONY S3,SONY S3 1,1,,Camera Body,SERIALIZED,,MC-0001,,DUPLICATE_RISK,1 | 2,EQ-CAM-001 | EQ-CAM-002,PHYSICAL_VERIFICATION,,DUPLICATE RISK — do not import until the unit is identified,,,,
5,MEDIA_CREW,MEDIA_CREW,PENDING,SONY S3,SONY S3 2,2,,Camera Body,SERIALIZED,,MC-0002,,DUPLICATE_RISK,1 | 2,EQ-CAM-001 | EQ-CAM-002,PHYSICAL_VERIFICATION,,DUPLICATE RISK — do not import until the unit is identified,,,,
6,MEDIA_CREW,MEDIA_CREW,PENDING,SONY M4,SONY M4 1,1,,Camera Body,SERIALIZED,,MC-0003,,NEW,,,CONFIRM_NEW,,,,,,
7,MEDIA_CREW,MEDIA_CREW,PENDING,SONY M4,SONY M4 2,2,,Camera Body,SERIALIZED,,MC-0004,,NEW,,,CONFIRM_NEW,,,,,,
8,MEDIA_CREW,MEDIA_CREW,PENDING,SONY M4,SONY M4,,TOUR,Camera Body,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,,"NON-NUMERIC SOURCE VALUE (""TOUR"") — preserved as source_reference, NOT a serial",,,,
9,MEDIA_CREW,MEDIA_CREW,PENDING,SONY C2,SONY C2 1,1,,Camera Body,SERIALIZED,,MC-0005,,NEW,,,CONFIRM_NEW,,,,,,
10,MEDIA_CREW,MEDIA_CREW,PENDING,SONY  ZEV,SONY  ZEV 1,1,,Camera Body,SERIALIZED,,MC-0006,,NEW,,,CONFIRM_NEW,,,,,,
11,MEDIA_CREW,MEDIA_CREW,PENDING,BLACKMAGIC,BLACKMAGIC 1,1,,Camera Body,SERIALIZED,,MC-0007,,NEW,,,CONFIRM_NEW,,,,,,
12,MEDIA_CREW,MEDIA_CREW,PENDING,LUMIX,LUMIX 1,1,,Camera Body,SERIALIZED,,MC-0008,,NEW,,,CONFIRM_NEW,,,,,,
13,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 35 MM,SONY 35 MM 1,1,,Lens,SERIALIZED,,MC-0009,,POSSIBLE_MATCH,10,EQ-LEN-003,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
14,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 35 MM,SONY 35 MM 2,2,,Lens,SERIALIZED,,MC-0010,,POSSIBLE_MATCH,10,EQ-LEN-003,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
15,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 50 1.8,SONY 50 1.8 1,1,,Lens,SERIALIZED,,MC-0011,,NEW,,,CONFIRM_NEW,,,,,,
16,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 85,SONY 85 1,1,,REVIEW,REQUIRES_REVIEW,,,,REQUIRES_REVIEW,,,IDENTITY_DECISION_REQUIRED,,CATEGORY NOT CONFIDENTLY RESOLVED | CATEGORY REQUIRES REVIEW,,,,
17,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 24/70,SONY 24/70 1,1,,Lens,SERIALIZED,,MC-0012,,POSSIBLE_MATCH,8,EQ-LEN-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
18,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 24/70,SONY 24/70 2,2,,Lens,SERIALIZED,,MC-0013,,POSSIBLE_MATCH,8,EQ-LEN-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
19,MEDIA_CREW,MEDIA_CREW,PENDING,SONY 24*105,SONY 24*105 1,1,,Lens,SERIALIZED,,MC-0014,,NEW,,,CONFIRM_NEW,,,,,,
